gene_id,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X76_C,X81_C,K_C,N_C,S_C,DS1_X
NPDC1,56654,"neural proliferation, differentiation and control 1",1017.8980194999934,10.999548425705802,1.5344365613939535,7.168460855568575,7.584561274453543e-13,2.845995080572891e-10,155,420,1,2,0,5674
PSTPIP2,9050,proline-serine-threonine phosphatase interacting protein 2,888.1169547437297,7.022439449266167,0.982750268863845,7.145700868018882,8.953785304481348e-13,3.263782654702087e-10,3350,247,7,7,27,1782
ITGA8,8516,integrin subunit alpha 8,182.68287879039107,8.520626243911755,1.198315165483052,7.110505223788111,1.1561892618972898e-12,4.097406278690451e-10,293,565,3,0,0,253
DYRK1A,1859,dual specificity tyrosine phosphorylation regulated kinase 1A,4286.52998202882,0.9281937074746123,0.13099547901393319,7.08569268543906,1.3835052174142686e-12,4.77047555777601e-10,5683,5653,3034,2732,3159,5818
MAGI1,9223,"membrane associated guanylate kinase, WW and PDZ domain containing 1",1395.044767331135,-27.667807152526912,3.9067962888016,-7.0819682182645725,1.4212125681327286e-12,4.771534195851935e-10,0,0,6152,0,2295,0
TBX21,30009,T-box transcription factor 21,461.9240962555126,7.116384754489639,1.0131531497435973,7.023997069239345,2.156093326758386e-12,7.053189400713715e-10,1802,264,6,1,13,731
CELSR1,9620,cadherin EGF LAG seven-pass G-type receptor 1,332.9341232894877,6.201066450608324,0.8870151614518513,6.9909362546391245,2.7305781643330092e-12,8.709179055140132e-10,167,541,12,5,10,1304
MEIS1,4211,Meis homeobox 1,1649.7398320164577,-27.19591610614261,3.9067914168053224,-6.961189683472114,3.3741109961812963e-12,1.0499245875434386e-9,0,0,6492,0,3497,0
SHANK3,85358,SH3 and multiple ankyrin repeat domains 3,543.2194264559653,12.53839781297193,1.8076251797223142,6.9363925406804015,4.0223895070678955e-12,1.2218486983612432e-9,1929,45,0,0,0,1344
PYHIN1,149628,pyrin and HIN domain family member 1,562.4880120366831,8.268520006870355,1.1950293364277713,6.919093745084903,4.545420115829542e-12,1.3486155776221697e-9,747,2195,10,1,0,474
IL18BP,10068,interleukin 18 binding protein,544.9147773546464,3.1135651027653495,0.4527472502425186,6.8770491727946155,6.110502323253503e-12,1.7717679236379133e-9,892,611,103,126,112,1484
NXN,64359,nucleoredoxin,1591.9497370034594,-6.111004875187864,0.8891198586971386,-6.873094572583896,6.2823885517228934e-12,1.7811269587306818e-9,26,27,3440,5555,475,86
GIMAP4,55303,"GTPase, IMAP family member 4",511.28382682305187,5.410850533718641,0.7963078220894729,6.794923249053152,1.0837020663284547e-11,3.0056241222213964e-9,1560,771,7,15,49,715
SV2A,9900,synaptic vesicle glycoprotein 2A,1130.8670671473744,7.145890595841197,1.0532657210520249,6.78450884046974,1.164821031255369e-11,3.1618695142034035e-9,1750,1214,40,1,7,3908
LILRB1,10859,leukocyte immunoglobulin like receptor B1,236.49325812737396,4.943525460614516,0.7301658759759808,6.77041426238486,1.2841416594581392e-11,3.4131415190347793e-9,453,695,8,11,26,248
FAM169A,26049,family with sequence similarity 169 member A,187.5382848825,11.004074280582651,1.6357877998424089,6.727079320216705,1.7310238987740623e-11,4.50702100011418e-9,116,262,0,0,0,771
NDRG1,10397,N-myc downstream regulated 1,2473.2614966304177,2.5392160291597197,0.38498937122473953,6.59554839418525,4.236868000181302e-11,1.081079238926261e-8,6084,3341,944,540,711,3447
ENTPD1,953,ectonucleoside triphosphate diphosphohydrolase 1,259.03844292230684,4.252648051402993,0.6504078130206621,6.538433220309264,6.216663170204357e-11,1.5551409554013175e-8,692,247,32,32,14,564
TPD52,7163,tumor protein D52,2108.926068690624,-1.7366743357883596,0.2669846208261651,-6.504772935663273,7.781082080822725e-11,1.9090585612910832e-8,1187,817,2656,3447,3699,967
RASSF4,83937,Ras association domain family member 4,449.3850500811427,2.242201356679804,0.3463500336187487,6.473801469723399,9.556745334907299e-11,2.3004708864669304e-8,689,788,211,132,131,788
ARHGAP29,9411,Rho GTPase activating protein 29,90.75966180962307,5.610420755957676,0.8678699480974861,6.4645869675020355,1.0157586634051778e-10,2.3998238940228257e-8,264,182,2,4,5,96
HMGCS1,3157,3-hydroxy-3-methylglutaryl-CoA synthase 1,5231.314575525288,-1.573448841919303,0.244984178051212,-6.422654942191352,1.3391782520878707e-10,3.10640657093401e-8,2641,3152,7236,6968,9464,2234
CD1C,911,CD1c molecule,506.1260672280629,11.474093732128742,1.8051489365918347,6.35631415200128,2.06652189005179e-10,4.707979691657275e-8,1497,1556,1,0,0,25
IL13RA1,3597,interleukin 13 receptor subunit alpha 1,195.9853097966407,11.067625400403873,1.7661898763902804,6.266384802875082,3.695265222179662e-10,8.270911176240022e-8,301,59,0,0,0,841
CPT1A,1374,carnitine palmitoyltransferase 1A,4936.797195857558,1.9895031123557914,0.31849500829373406,6.246575489562962,4.195492942110229e-10,9.228637750938328e-8,10246,8082,1698,2460,1841,5721
LYST,1130,lysosomal trafficking regulator,1384.883255011863,3.8520015063012285,0.6214786121401202,6.1981240078986755,5.714011447737317e-10,1.2149893008372114e-7,1609,4348,273,192,77,1943
ISYNA1,51477,inositol-3-phosphate synthase 1,569.677123637646,5.530069016561315,0.8921586248697354,6.198526654796129,5.699415468627178e-10,1.2149893008372114e-7,307,852,46,11,16,2257
MYOF,26509,myoferlin,223.8622772043227,11.259469531169342,1.8252863408393818,6.168604497413556,6.889531275650823e-10,1.4409285248320195e-7,860,465,0,0,0,37
MMP25,64386,matrix metallopeptidase 25,533.8709910538928,5.090826588298222,0.8312384385909636,6.1243878434299885,9.103290970395345e-10,1.8732223580694163e-7,1251,184,25,25,42,1738
ST14,6768,ST14 transmembrane serine protease matriptase,531.2361448615699,12.506206739429219,2.0513643921390536,6.096531063595392,1.0839489390880764e-9,2.1950826293469332e-7,22,274,0,0,0,2967
TNK2,10188,tyrosine kinase non receptor 2,2786.13692771811,1.826293198530057,0.30442908324072143,5.999075972271515,1.984435041056564e-9,3.9558472271561947e-7,5509,3348,962,1321,1420,4409
RPS6KA2,6196,ribosomal protein S6 kinase A2,204.65738143909698,3.8744623765506145,0.6477199233936088,5.981693995532954,2.208288429243582e-9,4.3343605815830187e-7,612,307,29,15,35,249
NPW,283869,neuropeptide W,333.85942819352704,8.389141219191298,1.405839652341405,5.967352823787058,2.4113362132881066e-9,4.661185971080252e-7,12,1286,2,2,2,735
HLA-F,3134,"major histocompatibility complex, class I, F",1895.6528299736467,2.4451982017935836,0.4101895972267876,5.96114142904914,2.50482052511056e-9,4.769626904382168e-7,3322,2399,788,637,352,4064
EFCAB14,9813,EF-hand calcium binding domain 14,3500.4322212164748,0.8433707249922622,0.14201077842141518,5.938779678325333,2.871514552746825e-9,5.387468038815293e-7,4330,4548,2723,2448,2400,4846
TPP1,1200,tripeptidyl peptidase 1,6017.971268113155,1.1477036893623116,0.19389073421410047,5.919332318866665,3.2325121867673923e-9,5.891484354111199e-7,9112,8022,3394,4437,3475,8175
FHIT,2272,fragile histidine triad diadenosine triphosphatase,466.3489428646585,9.8724543574998,1.6673272773727112,5.921125679090614,3.1974538153517363e-9,5.891484354111199e-7,145,48,1,2,0,2669
ZCCHC7,84186,zinc finger CCHC-type containing 7,7995.821225913038,-1.2500320636146298,0.21137928950250662,-5.913692238045896,3.345226811580362e-9,6.011042769315811e-7,5459,4374,10984,9701,13342,4612
P2RY8,286530,P2Y receptor family member 8,10102.730458859292,1.7687446459524967,0.2992243036910577,5.911099546842577,3.398315708635017e-9,6.021626640384104e-7,16309,20236,5374,4076,4405,11085
CCND2,894,cyclin D2,2650.584247566755,12.968841112014337,2.221339144661574,5.838298552106131,5.273659548793532e-9,9.216623085412038e-7,9725,62,0,0,2,6399
ZNF467,168544,zinc finger protein 467,118.38585079765389,6.886416521618215,1.1833407759956034,5.819470317689619,5.903440592325039e-9,1.017785068606525e-6,301,41,3,1,2,376
ITM2B,9445,integral membrane protein 2B,6123.380261434722,1.3237529799542223,0.22761801436426474,5.815677566872084,6.038877031728239e-9,1.0272532422771849e-6,7896,10621,3484,3027,4055,8186
JPH1,56704,junctophilin 1,144.29393316759342,10.62589327987086,1.8452048417924976,5.758652394142046,8.478809945951637e-9,1.4233244380322498e-6,52,150,0,0,0,683
PXDC1,221749,PX domain containing 1,55.57708797937189,9.249430288080474,1.6094530339629258,5.746940167185728,9.087286712857442e-9,1.5056571932809772e-6,147,103,0,0,0,89
MVP,9961,major vault protein,658.3339452905628,2.4540015916399445,0.4301847991398431,5.704528836320424,1.1666534328682896e-8,1.9082262175043127e-6,1286,637,223,210,181,1479
GBP5,115362,guanylate binding protein 5,325.56822200033395,5.629967732427026,0.9887823970175741,5.693838957295841,1.2421425227916165e-8,2.0059815576930943e-6,1302,350,20,2,17,292
GRIK5,2901,glutamate ionotropic receptor kainate type subunit 5,100.10980020248871,4.313058657606701,0.7578656411581453,5.691059764915094,1.2625330411940875e-8,2.013424567444271e-6,206,167,18,5,6,209
TNFAIP2,7127,TNF alpha induced protein 2,202.512238881096,9.255938888123849,1.6468639375431746,5.620342201391603,1.9057959195664136e-8,3.0017462150405314e-6,993,103,0,0,2,135
ALDH1L2,160428,aldehyde dehydrogenase 1 family member L2,451.6900988540121,9.408597654320998,1.6816203381422727,5.594959480993734,2.2067330022054648e-8,3.397016656066607e-6,64,312,0,4,0,2393
CAPN3,825,calpain 3,465.94283513866736,3.5185034868489065,0.6288991271490582,5.594702449022433,2.2100045653984038e-8,3.397016656066607e-6,887,573,31,72,123,1159
PVRIG2P,101752334,"PVR related immunoglobulin domain containing 2, pseudogene",54.949593268903925,9.233080820988846,1.6558251573376945,5.576120630896913,2.459414116714608e-8,3.7353815834577345e-6,90,81,0,0,0,165
VASH1,22846,vasohibin 1,100.89367033599748,6.6502420138361105,1.1932955290990035,5.573005053372963,2.5038230500738554e-8,3.758091114452029e-6,116,183,0,5,1,312
DAPK1,1612,death associated protein kinase 1,54.713441931856615,9.226845417113232,1.6592153825265532,5.560969066633861,2.6828075136257632e-8,3.979913751027615e-6,70,155,0,0,0,109
CCDC154,645811,coiled-coil domain containing 154,153.73030237928862,4.675049268279809,0.8427855937558972,5.547139513200888,2.9038103555870717e-8,4.258254312250558e-6,226,101,11,11,13,579
KDM4B,23030,lysine demethylase 4B,2752.727969040322,1.0410813177204863,0.1878105679734384,5.543252059531197,2.9690498043778504e-8,4.3044474323014335e-6,3714,3680,1828,2059,1552,3916
BMPR2,659,bone morphogenetic protein receptor type 2,1133.0365540337807,2.1241715429273897,0.38423086227550995,5.528373047254773,3.232141905878386e-8,4.6332209477748825e-6,1871,1405,281,525,471,2355
PLVAP,83483,plasmalemma vesicle associated protein,1046.403409886929,8.376901029108815,1.5159641694260624,5.525790911193023,3.280045808954886e-8,4.6496471589607155e-6,2865,526,19,0,0,2986
CTSF,8722,cathepsin F,157.88910353398077,9.792482661870919,1.7743909194070975,5.5187853785585315,3.4135078020900385e-8,4.785662916380737e-6,27,327,0,1,0,612
CPVL,54504,carboxypeptidase vitellogenic like,277.49157504725747,11.569290265259308,2.106976510049016,5.490944113558326,3.997908537054241e-8,5.5440562082323915e-6,857,826,0,0,0,5
PDE7B,27115,phosphodiesterase 7B,84.43693230581124,9.852836273728654,1.7975489567540008,5.481261712905347,4.22303230547846e-8,5.793273779924107e-6,42,160,0,0,0,315
BMP2,650,bone morphogenetic protein 2,391.65506849161557,8.885720865974436,1.6223982240254855,5.476904951194556,4.32829555152836e-8,5.874510068765831e-6,2004,359,2,0,3,14
RUNX2,860,RUNX family transcription factor 2,2092.7306715745203,-7.382654188426046,1.3531833780016975,-5.455767716662556,4.8761702796653473e-8,6.548440045049526e-6,45,14,9625,20,2951,17
ERBB3,2065,erb-b2 receptor tyrosine kinase 3,44.562709996143624,5.2279302341587215,0.9590800911224421,5.450984002848299,5.009187667263865e-8,6.657001693640874e-6,58,117,2,2,3,90
CREBBP,1387,CREB binding protein,7383.935493966873,0.8871049962949809,0.1630994727402353,5.439042698242514,5.3567617282896445e-8,7.045522281393741e-6,8760,9776,5735,4891,5036,10731
KIF7,374654,kinesin family member 7,125.12866981898824,10.420290553805238,1.92128563550942,5.423603008952048,5.840952941009657e-8,7.603967104224612e-6,26,194,0,0,0,547
AHNAK,79026,AHNAK nucleoprotein,359.09301568538496,4.372483700103374,0.8080773313313175,5.410971859462575,6.268362282342565e-8,7.997176599812644e-6,1409,434,29,22,49,243
CARD6,84674,caspase recruitment domain family member 6,311.2491669692055,6.216423711333852,1.1487428103231119,5.411501735175458,6.249838877114861e-8,7.997176599812644e-6,648,582,4,0,21,645
CCNA2,890,cyclin A2,5159.893165172399,-1.3609598178768625,0.2519706799652128,-5.401262631290106,6.617345981183619e-8,8.358821784944615e-6,3705,2487,7724,6457,8269,2631
B3GNTL1,146712,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1",574.2136316580916,1.6130387282864056,0.2995287542499068,5.385255022763503,7.234200375396352e-8,9.04842435189281e-6,750,796,322,274,259,1098
AUTS2,26053,activator of transcription and developmental regulator AUTS2,4608.036093327804,1.1955073897911612,0.222309326211285,5.37767537766247,7.545370207983442e-8,9.346003214898325e-6,6395,5633,2714,3285,2462,7563
CALD1,800,caldesmon 1,413.29344849141495,8.700035418690755,1.6229581229962184,5.36060376137692,8.294426879585848e-8,1.0175028666322717e-5,1069,7,4,0,2,1447
ST3GAL6,10402,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",61.915763406334094,9.4052534927239,1.7618285498560193,5.338347760054472,9.3797418584871e-8,1.139683301243604e-5,198,46,0,0,0,134
IRF1,3659,interferon regulatory factor 1,4910.241306310832,0.9260191797620922,0.17391346264441407,5.324597450258604,1.0117684953407026e-7,1.2177492890147815e-5,5838,6968,3798,3101,3335,6836
TDRKH,11022,tudor and KH domain containing,326.46687288555086,-2.4111281466436734,0.4544073862985516,-5.306093649321824,1.1199943260318486e-7,1.3354100571508713e-5,135,113,698,499,464,67
MAD2L1,4085,mitotic arrest deficient 2 like 1,3548.719795452925,-0.7971876292422942,0.15114519545438496,-5.274316704846119,1.3325162177909223e-7,1.5740964728311656e-5,2589,2773,4145,4560,4907,2550
CDC42EP4,23580,CDC42 effector protein 4,179.95325720078125,7.26608044093372,1.384460739449195,5.248310937170032,1.5350006094127023e-7,1.796654841732776e-5,531,227,0,7,0,333
SLC36A1,206358,solute carrier family 36 member 1,281.8248979957093,-2.1987799006460973,0.42066547145004607,-5.226908434074323,1.723678070788626e-7,1.9991531661019353e-5,96,80,350,555,493,132
DNAJC15,29103,DnaJ heat shock protein family (Hsp40) member C15,253.60869157413086,6.569109439244362,1.2725852082177227,5.162019326347909,2.443000610520991e-7,2.8079100710834956e-5,388,643,15,0,1,501
GBP4,115361,guanylate binding protein 4,3574.048086841989,1.864019417799716,0.3618978050072794,5.150678981770066,2.5954510857334046e-7,2.930333181574051e-5,7506,3871,1343,2028,1281,5738
ABHD2,11057,"abhydrolase domain containing 2, acylglycerol lipase",3161.339212542785,0.862006006575862,0.16730618430345504,5.152266248642554,2.5735729993181413e-7,2.930333181574051e-5,3919,4208,2276,1999,2507,4324
MPO,4353,myeloperoxidase,3992.374947226249,11.75281548309131,2.312400766050139,5.082516688128651,3.7246657502893757e-7,4.168358389665952e-5,3943,275,0,0,7,20274
PLEK,5341,pleckstrin,534.648862494069,5.498846110791499,1.082635952647135,5.079127565777179,3.7917205657431324e-7,4.206501824152251e-5,1765,334,6,5,59,1094
PDLIM5,10611,PDZ and LIM domain 5,304.013926339836,-4.115339940798895,0.8134850333187761,-5.0589006216986405,4.2168054467664556e-7,4.6377589560212444e-5,44,47,246,921,568,10
KRT18,3875,keratin 18,160.75680470334297,10.781725231049824,2.1453848253024077,5.025543717794341,5.020081858388041e-7,5.474034559770481e-5,366,607,0,0,0,5
BCL3,602,BCL3 transcription coactivator,128.51061264400036,3.7144888297791074,0.7395307926482481,5.022764253639232,5.093304788493692e-7,5.506812075559536e-5,417,151,26,13,16,160
IFIH1,64135,interferon induced with helicase C domain 1,699.3535202386789,1.8511990784573829,0.3694331022754152,5.010918261128912,5.417092189898257e-7,5.8076690889682315e-5,1346,744,249,336,332,1254
EFNB1,1947,ephrin B1,1054.722810867208,2.7357684413501184,0.5463076390474954,5.007743340583736,5.507190326983472e-7,5.818149605298294e-5,950,1311,262,274,296,3353
NINL,22981,ninein like,422.72423406420546,6.2561896861107,1.2493980358207175,5.007363151488444,5.518075734763236e-7,5.818149605298294e-5,14,1081,11,9,13,1459
IL1B,3553,interleukin 1 beta,728.3337577717945,4.2142324524868195,0.8431886426886893,4.997971081594302,5.793667089802249e-7,6.0586561255489417e-05,1819,1046,136,79,10,1353
CEP170B,283638,centrosomal protein 170B,512.6857477170176,7.341377907001987,1.4704317505552797,4.992668244704087,5.95507988588923e-7,6.17682188489226e-5,7,351,9,4,6,2771
PFKP,5214,"phosphofructokinase, platelet",7569.350023970254,-1.150560346085784,0.23077658908404375,-4.985602528628999,6.176901253889131e-7,6.304392495769401e-5,3753,5394,9201,10681,11654,5208
IMMT,10989,inner membrane mitochondrial protein,6293.9951085636685,-0.8145934099411714,0.16338220987935445,-4.985814615573432,6.170128550088325e-7,6.304392495769401e-5,5269,4259,7772,8033,8444,4396
CEACAM6,4680,CEA cell adhesion molecule 6,2402.3070725541247,10.827242157278093,2.1811388029010863,4.964031698889134,6.904466692466126e-7,6.991046512895463e-5,9014,5579,7,0,1,11
WNT9A,7483,Wnt family member 9A,195.58212238959246,11.064615751186205,2.2336471010057433,4.953609612818491,7.284929005248886e-7,7.318198759761046e-5,1118,11,0,0,0,61
CITED4,163732,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4,281.92553542724715,7.141788746395698,1.4440950729803077,4.945511469446781,7.59441986295137e-7,7.569500672776061e-5,476,757,12,0,0,475
ZBTB38,253461,zinc finger and BTB domain containing 38,107.91847962659547,6.333282569195582,1.2828479912740016,4.936892455127106,7.937721369585171e-7,7.850344901795937e-5,128,92,2,0,6,433
IFITM2,10581,interferon induced transmembrane protein 2,13221.636523349554,-2.1385703617301317,0.43355228096042114,-4.932670073820604,8.111309919068968e-7,7.960314765190915e-5,5025,7293,27227,17007,20907,2595
CTDSPL,10217,CTD small phosphatase like,551.8843830276534,7.375278230424036,1.496202064727097,4.929333012095038,8.251082643271466e-7,8.035672699454761e-5,951,888,0,0,20,1514
GPNMB,10457,glycoprotein nmb,260.57608855027286,7.289199986308459,1.482598436856512,4.916503218338358,8.810375018178578e-7,8.515360945600175e-5,1174,376,0,4,6,25
CYLD,1540,CYLD lysine 63 deubiquitinase,1668.6017023369802,1.4110597302844345,0.2874077174087437,4.909609745369719,9.125781785822139e-7,8.753889024324726e-5,1948,2190,952,854,950,3273
LGALS8,3964,galectin 8,1824.9525782439584,1.4188057200615418,0.2891863610082907,4.906198601879658,9.285850209604424e-7,8.840960968218898e-5,2601,2508,711,1186,1104,3002
PFAS,5198,phosphoribosylformylglycinamidine synthase,5982.438453747244,-1.0920385079035038,0.22308192483709838,-4.895235276013265,9.818818537059768e-7,9.279147177467297e-5,3947,3157,7673,9275,7655,4564
MIF,4282,macrophage migration inhibitory factor,17918.781641814287,-0.9752915092620668,0.1999717905437646,-4.877145454416584,1.0763206886523503e-6,1.0096837754284327e-4,14122,12387,21899,26346,23519,10349
RNASET2,8635,ribonuclease T2,2398.3690847854773,1.889476968760726,0.3875498032018411,4.875442983457435,1.0856455118236382e-6,1.0109974773610201e-4,4812,3781,630,1283,1166,2926
MRPS26,64949,mitochondrial ribosomal protein S26,2343.792060913939,-0.6838763700606735,0.140575624082173,-4.864828981025301,1.145558164545084e-6,1.0590602219758104e-4,1922,1763,2767,3048,2914,1804
ARHGAP44,9912,Rho GTPase activating protein 44,185.4372780289695,-6.958785772442836,1.4310761878475151,-4.862624248475241,1.1583961926419433e-6,1.0632243615630154e-4,8,1,152,844,113,0
FH,2271,fumarate hydratase,3263.769008747332,-0.8131565464254769,0.16736188567997182,-4.858672230667793,1.1817558282968276e-6,1.0769172041007805e-4,2609,2433,3916,4128,4526,2182
HMBS,3145,hydroxymethylbilane synthase,1059.88999249355,-1.0234750890793713,0.21141530875320552,-4.841064230945165,1.2914561744100507e-6,1.1685388562498883e-4,746,710,1235,1455,1603,677
CAMK1,8536,calcium/calmodulin dependent protein kinase I,110.48345910507406,5.348139503092293,1.1053836050403927,4.838265628968562,1.309770218532906e-6,1.1767639752142828e-4,499,46,6,5,5,112
FSCN1,6624,fascin actin-bundling protein 1,3543.689389060387,5.597932914850317,1.1632671206309113,4.812250613439684,1.4924004278693544e-6,1.331471654458547e-4,15429,2201,184,4,246,3523
MYO15B,80022,myosin XVB,3058.24075711985,4.51842893043996,0.9392377700660969,4.810740234735221,1.5037234455837896e-6,1.332257202691527e-4,2970,3028,362,27,385,11954
CSF3R,1441,colony stimulating factor 3 receptor,154.21942324110947,10.721838773987061,2.2324857745588664,4.802645954644737,1.5658260510472099e-6,1.3682745725520756e-4,283,3,0,0,0,659
APAF1,317,apoptotic peptidase activating factor 1,2599.2310574981725,1.0102235355734013,0.21171531161071452,4.771613011301332,1.8275639026514422e-6,1.5861265489814356e-4,3764,3092,2034,1604,1574,3749
ELK4,2005,ETS transcription factor ELK4,3587.4196554741657,0.7070143047003896,0.14948761940520003,4.729584346272596,2.2497997202674357e-6,1.926372136320265e-4,4922,4133,2871,2674,2691,4525
LYPD5,284348,LY6/PLAUR domain containing 5,81.86490088577413,7.358193952324471,1.5571602161822082,4.725392978742443,2.2967076794092694e-6,1.9534264382602305e-4,50,165,0,0,3,283
DNMT3B,1789,DNA methyltransferase 3 beta,671.1020400976291,-1.6989207627589438,0.35963470970583045,-4.724017779453507,2.312301879934316e-6,1.9536653896822518e-4,397,213,1056,1140,904,355
GEMIN4,50628,gem nuclear organelle associated protein 4,2557.3181777682476,-1.1754240443417865,0.25058528376831624,-4.690714580943025,2.722525346591731e-6,2.275661861914269e-4,1517,1269,3700,3717,3294,2009
